datetime,open,high,low,close,volume
2022-01-24,223.3,233.8,208.88,233.72,91581064.0
2022-01-25,225.46001,229.42999,220.0,223.24001,66461636.0
2022-01-26,232.39999,240.57001,223.0,227.72,75595872.0
2022-01-27,235.67999,239.95,216.75,219.44,57335272.0
2022-01-28,220.12151,228.58,212.96001,228.39999,54377424.0
2022-01-31,231.82001,245.09,230.52,244.86,56467968.0
2022-02-01,251.03999,251.45,238.9001,246.38,51892516.0
2022-02-02,257.94,258.17001,245.53011,252.42,54341940.0
2022-02-03,244.58,250.77,237.8,239.48,41017776.0
2022-02-04,239.72,246.35001,236.32001,243.19,35482848.0
2022-02-07,243.72,251.82001,242.02,247.28,37686752.0
2022-02-08,243.59,252.3,239.8,251.08,41035864.0
2022-02-09,256.22,267.25,253.53,267.04999,52428168.0
2022-02-10,259.95001,269.24991,256.0,258.23999,51319972.0
2022-02-11,259.16,261.51999,237.73,239.49001,60547200.0
2022-02-14,239.34,248.75,237.55,242.67,44042444.0
2022-02-15,249.49001,265.45001,247.84,264.95001,70175280.0
2022-02-16,262.59,265.82001,255.52,265.10999,73267632.0
2022-02-17,256.29999,257.85001,241.64999,245.07001,81059504.0
2022-02-18,246.675,249.86,231.0,236.42,76125488.0
2022-02-22,230.35001,240.63989,230.0,233.89999,63342244.0
2022-02-23,238.02,241.5499,223.00999,223.87,56651076.0
2022-02-24,210.14999,238.0,208.89999,237.48,73580064.0
2022-02-25,237.21001,242.17,233.81,241.57001,52886552.0
2022-02-28,239.92,246.64999,237.0701,243.85001,47731860.0
2022-03-01,242.91,243.77,231.32001,234.77,41205600.0
2022-03-02,237.56,244.09,234.14999,242.2,38964184.0
2022-03-03,242.61501,243.2599,234.69,237.14,36509504.0
2022-03-04,233.84,236.8,224.82001,229.36,43201072.0
2022-03-07,228.17,230.33,213.3,213.52,45082088.0
2022-03-08,213.09,223.7299,206.5,215.14,55746720.0
2022-03-09,223.87,232.2,222.47,230.14,49274196.0
2022-03-10,225.31,227.88,218.82001,226.58,42806564.0
2022-03-11,230.22,231.45,220.46001,221.0,36720856.0
2022-03-14,218.69,222.62,211.5901,213.3,38535424.0
